Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nigeria,NGA,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,65000,63000,470000,975000,737000,501000,279000,541000,248000,169000,376000,148000,291000
Nigeria,NGA,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8.955224037,,24.37810898,,22.38805962,22.88557243,18.75,15.86538506,25.48077011,21.15384674,21.63461494,17.53554535,19.9052124,23.47417831,23.94366264,24.41314507,25.61576271,28.5714283,32.01970291,32.01970291,29.61165047,28.98550797,26.08695602,25.12077332,27.05314064,
Nigeria,NGA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,21.1409396,9.156193896,2.419354839,6.006493506,20.97902098,23.68421053,27.14776632,11.14457831,10.63829787,71.75398633,34.44444444,14.90909091,0.93503937,2.540251657,4.445500708,2.747790513,2.872793757,2.684481491,2.7554911,4.827047098,6.977032679,5.323020258,5.471168303,5.50000059,5.499877648,5.499953748,0.861846151,0.63183064,3.802873754,8.955801166,19.4362652,31.02936113,34.19803599,21.7254289,26.93210299,26.8231021,28.0718908,36.0299565,15.10904857,32.98457688,56.03693924,45.1009092,32.30085162,8.868845738,7.250054162,25.56257447,16.96319935
Nigeria,NGA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,462229733.3,876789792.4,1026477534,1126593868,926003610,507824309.3,401706298.6,433122128.1,315515973.5,250210455.5,224101501.8,363679110.1,551818904.5,965147860,886310881.9,1052587671,1162592955,370885615.6,189062408.9,229552040.4,239890020.2,251799815.8,979617297.7,1832948553,1653267405,2523770923,3473114365,3336004128,1432765185,2056668731,1097678455,1833045206,1759926454,2619372316,2313948391,2067293875,1916435216,1507440066,2673338418,3244834602,4548953841,4351053349,4486237499,3532610325,3532116624,4408199241,3963706001
Nigeria,NGA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,461800000,485900000,471300000,530900000,601100000,749900000,781900000,677700000,592100000,890700000,1239300000,1810200000,2179300000,3461300000,9219200000,7994900000,10770500000,11822500000,9955700000,17221700000,,19220300000,14155800000,10679700000,11930400000,13115858199,5151504484,7336777378,6885796375,8144977751,10273078734,7726467854,12369696190,11590070643,11318843405,12247866500,16142031717,16524872191,11346372634,13226863955,27156872817,18112755144,18680078954,24190276135,34898336707,45608955260,54032586488,61919932415,91474986761,54535607756,82578965249,1.12934E+11,1.10041E+11,98650855607,99291526864,57857137494,40319158232,49162888680,66493523370,67292199683,45358497866,,,
Nigeria,NGA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,,1.315510291,1.130156338,1.097987024,0.640085345,0.140682952,0.073778958,0.16889039,0.101044123,0.12910514,0.060766766,0.137658881,0.034669055,0.011931621,0.016260366,0.052922334,0.000845845,0.005022249,0.001741988,,0.001040566,0.002825697,0.044945083,0.004190974,0.00107894,0.064680481,0.064680481,0.024343963,0.005124058,0.020247438,0.071885632,0.040171731,0.175758026,0.087977076,0.491650081,1.246366412,1.171486648,0.589067513,0.487476173,0.071631631,0.206129458,0.105717631,0.105144728,0.116609643,0.040720915,0.034439682,0.005466831,0.004889799,0.005893511,0.006468261,0.005085108,0.006389736,0.00659821,0.010983031,0.322747642,0.461614258,0.557593968,0.371821844,0.062349828,0.124413091,,,
Nigeria,NGA,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,0.303161542,0.349866228,1.400381922,1.582218874,4.258858759,2.77370316,2.557871851,2.301903497,3.107583179,2.885371056,2.299685306,1.994254778,1.413297848,0.473810418,0.07701319,0.137587712,0.954458939,0.71558469,0.778448527,0.51388655,,3.333975016,1.605702256,0.953210296,1.160899886,4.519489269,1.90484182,1.90484182,2.29878387,1.142814069,0.232950636,2.299782817,5.02042075,7.462159735,7.683262518,10.03737856,11.95550624,12.54465964,16.4968063,26.69752408,20.6976232,21.80645948,26.48338637,21.11366321,26.88523879,22.43034795,21.59881289,21.18159657,30.14935578,33.19935407,35.09458032,34.9851919,35.42277494,41.12577599,47.85947675,48.71294689,47.5571368,44.40235204,44.49650922,47.23519709,49.6841118,,,
Nigeria,NGA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,1.085720003,5.741796856,7.009789427,6.524862432,6.441938251,6.174158111,7.155461423,4.759451675,4.201011155,2.179122871,1.477288218,0.789972155,0.528860681,0.46115191,0.292567735,0.283060582,0.329222419,0.184991692,,0.150906449,,0.115102254,0.136874633,0.049699431,0.027907278,0.067392166,,,,,,,,,0.013446357,0.01464186,0.004553597,0.002675851,0.008705371,0.012764596,0.028525621,0.002844004,,,0.005746143,0.404775616,0.331171707,0.198132508,1.081326458,0.316956342,0.433518698,0.62849795,0.369046051,0.336962635,0.171031713,0.137564075,0.309226566,0.300890835,0.301988964,0.896061887,1.01390051,1.175841622
Nigeria,NGA,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,10.29888257,10.99046206,13.41365896,25.88165633,33.41830842,30.84418813,18.13521092,42.56831149,58.14832282,74.47160226,82.99604194,83.81457578,93.02647875,93.30460708,94.31150007,93.06317307,90.2740139,95.1012156,,97.06344809,,94.40701441,95.15198118,96.71550283,93.11161368,95.37030686,,,,,,,,,95.52858305,96.21705427,96.97916541,98.94206061,99.63503302,99.65649781,94.03746349,97.8966781,,,98.23885636,93.66630522,91.74328579,90.36219374,87.13263587,89.12652734,84.03897309,87.62337519,90.85420983,87.87329969,96.47824144,96.03173615,94.11379132,87.03929178,88.70021817,89.1470696,90.72707611,91.60921415
